[15:20:08] (/who) RusBoy (~dima1236@85-64-70-246.barak.net.il) dima1236
[15:20:09] (/who) thalk^ (owned@got.r-o-o-t.de) thalk^
[15:20:11] (/who) Cyprox (~Cyproxicu@c53751941.cable.wanadoo.nl) Stijn
[15:20:12] (/who) scp (~scp@Linknet-de35a58737.012.net.il) * I'm too elite to read RFC 1459 *
[15:20:14] (/who) _kopykat_ (chrispen@Linknet-7d7aac240c.n00b.usegoogle.info) _kopykat_
[15:20:16] (/who) bEcKs_7 (becks_7@212.204.256.256) KUCKKUCK
[15:20:17] (/who) denni (sie@headhunter.dial-in.org) denni
[15:20:18] (/who) L|J|S|n|a (godless@white.snow.in.my.nose.makes.my.heart.go.b00mb00m.org) L|J|S
[15:20:20] (/who) tch (showbiz@Linknet-ec307d3bb9.mops.net) _TC_
[15:20:21] (/who) KarpHen (seek@Linknet-57a46fbc89.dip.t-dialin.net) Knowledge is Power
[15:20:23] (/who) resQue (~sansun-1@66.90.75.122) resQue
[15:20:24] (/who) IOeXcept (IOX@what.is.the.matr1x.de) IOX
[15:20:26] (/who) [SuGGs] (suggs@insane-vision.com) suggs
[15:20:27] (/who) ichi (~ichi@195.140.140.226) ichi
[15:20:29] (/who) __xTC_ (xt@Linknet-9e57c1dd3e.com.mx) ?¿?¿?¿?
[15:20:30] (/who) SuPrEmE- (supreme@CPE00e029312485-CM000f9fad472a.cpe.net.cable.rogers.com) TechnoNation
[15:20:32] (/who) rEd_sEvEn (LosEblos@siena.lk.etc.tu-bs.de) LosEblos
[15:20:33] (/who) JEFF| (c96@kann.user.die.mit.dummen.fragen.nerven.nicht-ausstehen.de) JEFF|
[15:20:35] (/who) fuselito (fusel@zux182-138.adsl.green.ch) slut hunter
[15:20:36] (/who) OGC (~OGC@195.140.256.256) OGC
[15:20:38] (/who) oRa[n]Ge (hrr@217.20.256.256) mr orange
[15:20:39] (/who) Seppes (seppa@Linknet-a2aed34d72.studnetz.uni-leipzig.de) Sugg mei liddal Pillemann [TM]
[15:21:02] (/who) NicolasC| (NicolasC@Linknet-44741bf179.versanet.de) NicolasC
[15:21:02] (/who) Squ3zZ (~Squ3zZ@195.140.256.256) Squ3zZ
[15:21:02] (/who) DIRTY (dirty@braucht.keinen.b0dyguard.de) DIRTY
[15:21:02] (/who) RASCAL (dirty@steht.unter.dr0gen.com) RASCAL
[15:21:02] (/who) cap^sx (capsx@Linknet-4bc500fdf1.lai.la) capsx
[15:21:02] (/who) Barrachus (barrachus@Linknet-5a4957557f.wrn.surfer.at) BA
[15:21:02] (/who) quad- (~quad@h2773.serverkompetenz.net) quad
[15:21:03] (/who) Suicida (hawtin@ouzo.lai.la) Suicida
[15:21:03] (/who) @dMaGiC (~dMaGiC@195.140.140.42) dMaGiC
[15:21:03] (/who) WOPR (hawtin@ouzo.lai.la) WOPR
[15:21:03] (/who) __BLOW__ (You@ich.als.zuhaelter.war-im.tv) _BLOW_
[15:21:03] (/who) slashy (showbiz@member.of.the.s-c-e-n-e.net) SlashZero
